L;seq_hex;seq_dec;packetNumber;lat;lon;gps_height;hAcc;IMU_PITCH;IMU_ROLL;IMU_YAW;rateX;rateY;rateZ;ALTITUDE;presAltOffsetAtGround;ms5611_altitude;lidar_range;flags;state;IMU_ACCX;IMU_ACCY;IMU_ACCZ;IMU_MAGX;IMU_MAGY;IMU_MAGZ
99;0xB4;180;771;0.0000000000;0.0000000000;0.000000;100.000000;5.011658;-5.885792;3.123832;-0.025140;0.028336;-0.002131;214.154099;214.199387;214.418961;0.000000;50331653;97;0.900699;1.030464;-9.679756;0.000000;0.000000;0.000000
99;0xB5;181;771;0.0000000000;0.0000000000;0.000000;100.000000;5.010681;-5.885512;3.122808;-0.026419;0.027484;-0.002557;214.153214;214.199387;214.411041;0.000000;50331653;97;0.907881;1.025676;-9.682630;0.000000;0.000000;0.000000
99;0xB6;182;771;0.0000000000;0.0000000000;0.000000;100.000000;5.014123;-5.887684;3.122152;-0.026205;0.028123;-0.000639;214.153046;214.199387;214.424240;0.000000;50331653;97;0.900699;1.029028;-9.670179;0.000000;0.000000;0.000000
99;0xB7;183;771;0.0000000000;0.0000000000;0.000000;100.000000;5.013085;-5.887657;3.122077;-0.025992;0.028336;-0.001491;214.153397;214.199387;214.426880;0.000000;50331653;97;0.905008;1.031901;-9.675926;0.000000;0.000000;0.000000
99;0xB8;184;771;0.0000000000;0.0000000000;0.000000;100.000000;5.013659;-5.880977;3.121906;-0.025566;0.028762;-0.001278;214.153580;214.199387;214.421600;0.000000;50331653;97;0.909318;1.022324;-9.673053;0.000000;0.000000;0.000000
99;0xB9;185;771;0.0000000000;0.0000000000;0.000000;100.000000;5.013290;-5.880554;3.120779;-0.026419;0.028762;-0.002131;214.152405;214.199387;214.400452;0.000000;50331653;97;0.909318;1.026634;-9.677841;0.000000;0.000000;0.000000
99;0xBA;186;771;0.0000000000;0.0000000000;0.000000;100.000000;5.016152;-5.882268;3.120745;-0.025992;0.028975;-0.002131;214.151306;214.199387;214.408386;0.000000;50331653;97;0.898304;1.030464;-9.681672;0.000000;0.000000;0.000000
99;0xBB;187;771;0.0000000000;0.0000000000;0.000000;100.000000;5.015046;-5.880731;3.120274;-0.025566;0.028336;-0.002131;214.150879;214.199387;214.429520;0.000000;50331653;97;0.909797;1.029985;-9.684066;0.000000;0.000000;0.000000
99;0xBC;188;771;0.0000000000;0.0000000000;0.000000;100.000000;5.015640;-5.884228;3.119543;-0.025566;0.028336;-0.002131;214.150787;214.199387;214.416321;0.000000;50331653;97;0.907881;1.029985;-9.682151;0.000000;0.000000;0.000000
99;0xBD;189;771;0.0000000000;0.0000000000;0.000000;100.000000;5.014827;-5.883928;3.118600;-0.024927;0.027271;-0.002131;214.149841;214.199387;214.395172;0.000000;50331653;97;0.908360;1.032858;-9.677841;0.000000;0.000000;0.000000
99;0xBE;190;771;0.0000000000;0.0000000000;0.000000;100.000000;5.017341;-5.887964;3.117412;-0.025992;0.028336;-0.002131;214.149338;214.199387;214.445389;0.000000;50331653;97;0.901656;1.026155;-9.683108;0.000000;0.000000;0.000000
99;0xBF;191;771;0.0000000000;0.0000000000;0.000000;100.000000;5.017033;-5.886953;3.117043;-0.025992;0.029401;-0.002131;214.150391;214.199387;214.455948;0.000000;50331653;97;0.905487;1.031422;-9.676884;0.000000;0.000000;0.000000
99;0xC0;192;771;0.0000000000;0.0000000000;0.000000;100.000000;5.016808;-5.883491;3.117009;-0.025353;0.028549;-0.002131;214.151474;214.199387;214.434799;0.000000;50331653;97;0.904050;1.022803;-9.674010;0.000000;0.000000;0.000000
99;0xC1;193;771;0.0000000000;0.0000000000;0.000000;100.000000;5.015633;-5.882917;3.115820;-0.025566;0.028336;-0.001704;214.151718;214.199387;214.432159;0.000000;50331653;97;0.899741;1.029507;-9.678799;0.000000;0.000000;0.000000
99;0xC2;194;771;0.0000000000;0.0000000000;0.000000;100.000000;5.020052;-5.885881;3.115008;-0.026419;0.028762;-0.002131;214.151733;214.199387;214.426880;0.000000;50331653;97;0.906923;1.025676;-9.674968;0.000000;0.000000;0.000000
99;0xC3;195;771;0.0000000000;0.0000000000;0.000000;100.000000;5.019280;-5.885485;3.114755;-0.025566;0.028336;-0.001278;214.151764;214.199387;214.432159;0.000000;50331653;97;0.901177;1.023760;-9.682151;0.000000;0.000000;0.000000
99;0xC4;196;771;0.0000000000;0.0000000000;0.000000;100.000000;5.023037;-5.883982;3.113225;-0.025140;0.028975;-0.002983;214.151047;214.199387;214.434799;0.000000;50331653;97;0.898783;1.028070;-9.682151;0.000000;0.000000;0.000000
99;0xC5;197;771;0.0000000000;0.0000000000;0.000000;100.000000;5.023870;-5.884665;3.112556;-0.026419;0.028336;-0.002557;214.151855;214.199387;214.450668;0.000000;50331653;97;0.904529;1.025676;-9.683587;0.000000;0.000000;0.000000
99;0xC6;198;771;0.0000000000;0.0000000000;0.000000;100.000000;5.022702;-5.883347;3.112514;-0.026632;0.028336;-0.002131;214.151703;214.199387;214.421600;0.000000;50331653;97;0.908839;1.029028;-9.676405;0.000000;0.000000;0.000000
99;0xC7;199;771;0.0000000000;0.0000000000;0.000000;100.000000;5.022463;-5.883675;3.111729;-0.027058;0.029401;-0.002557;214.151947;214.199387;214.450668;0.000000;50331653;97;0.909318;1.029507;-9.683108;0.000000;0.000000;0.000000
99;0xC8;200;771;0.0000000000;0.0000000000;0.000000;100.000000;5.018023;-5.884624;3.110015;-0.025992;0.028336;-0.002131;214.152557;214.199387;214.437439;0.000000;50331653;97;0.902614;1.027591;-9.684066;0.000000;0.000000;0.000000
99;0xC9;201;771;0.0000000000;0.0000000000;0.000000;100.000000;5.017900;-5.884966;3.109830;-0.025779;0.029401;-0.001065;214.152740;214.199387;214.432159;0.000000;50331653;97;0.905008;1.036210;-9.676405;0.000000;0.000000;0.000000
99;0xCA;202;771;0.0000000000;0.0000000000;0.000000;100.000000;5.017464;-5.889884;3.108717;-0.026419;0.028336;-0.001917;214.152557;214.199387;214.437439;0.000000;50331653;97;0.899262;1.024239;-9.681193;0.000000;0.000000;0.000000
99;0xCB;203;771;0.0000000000;0.0000000000;0.000000;100.000000;5.017491;-5.890232;3.108109;-0.025992;0.029401;-0.001065;214.152054;214.199387;214.411041;0.000000;50331653;97;0.906923;1.029507;-9.677362;0.000000;0.000000;0.000000
99;0xCC;204;771;0.0000000000;0.0000000000;0.000000;100.000000;5.018160;-5.888948;3.107365;-0.025992;0.029188;-0.002131;214.150787;214.199387;214.424240;0.000000;50331653;97;0.899741;1.020409;-9.677362;0.000000;0.000000;0.000000
99;0xCD;205;771;0.0000000000;0.0000000000;0.000000;100.000000;5.018393;-5.889207;3.106504;-0.025992;0.028975;-0.002344;214.150284;214.199387;214.411041;0.000000;50331653;97;0.906923;1.029028;-9.677841;0.000000;0.000000;0.000000
99;0xCE;206;771;0.0000000000;0.0000000000;0.000000;100.000000;5.013762;-5.883538;3.104892;-0.026205;0.028336;-0.002983;214.149002;214.199387;214.411041;0.000000;50331653;97;0.907402;1.029507;-9.685024;0.000000;0.000000;0.000000
99;0xCF;207;771;0.0000000000;0.0000000000;0.000000;100.000000;5.012444;-5.883655;3.104236;-0.026205;0.029188;-0.002131;214.147263;214.199387;214.389893;0.000000;50331653;97;0.903093;1.024718;-9.681193;0.000000;0.000000;0.000000
99;0xD0;208;771;0.0000000000;0.0000000000;0.000000;100.000000;5.011692;-5.887083;3.102959;-0.025566;0.028336;-0.002131;214.145264;214.199387;214.400452;0.000000;50331653;97;0.904050;1.029507;-9.683587;0.000000;0.000000;0.000000
99;0xD1;209;771;0.0000000000;0.0000000000;0.000000;100.000000;5.011221;-5.886865;3.103014;-0.027058;0.029401;-0.001065;214.143326;214.199387;214.400452;0.000000;50331653;97;0.909318;1.025676;-9.687897;0.000000;0.000000;0.000000
99;0xD2;210;771;0.0000000000;0.0000000000;0.000000;100.000000;5.014602;-5.886796;3.101627;-0.025353;0.028336;-0.002131;214.141144;214.199387;214.384613;0.000000;50331653;97;0.906923;1.029507;-9.685503;0.000000;0.000000;0.000000
